         148400 function calls (144135 primitive calls) in 5.678 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 animation.py:19(<module>)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
      327    0.000    0.000    0.002    0.000 re.py:188(match)
      274    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
     2467    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.002    0.002 financial.py:1(<module>)
       21    0.000    0.000    0.002    0.000 pyparsing.py:1518(setParseAction)
       89    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
     2080    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
      335    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
     5617    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       24    0.000    0.000    0.001    0.000 pyparsing.py:1291(extract_stack)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.001    0.001 argparse.py:2505(format_usage)
    188/7    0.000    0.000    0.001    0.000 pyparsing.py:1647(_parseNoCache)
       24    0.000    0.000    0.001    0.000 traceback.py:200(extract_stack)
     3043    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
     39/7    0.000    0.000    0.001    0.000 pyparsing.py:4049(parseImpl)
        4    0.000    0.000    0.001    0.000 __init__.py:652(__init__)
        4    0.000    0.000    0.001    0.000 _collections_abc.py:848(update)
        1    0.000    0.000    0.001    0.001 colors.py:1(<module>)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:62(__init__)
        1    0.000    0.000    0.001    0.001 cycler.py:1(<module>)
       24    0.000    0.000    0.001    0.000 traceback.py:321(extract)
       23    0.000    0.000    0.001    0.000 overrides.py:206(decorator)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:282(format_help)
        1    0.000    0.000    0.001    0.001 argparse.py:209(format_help)
        1    0.000    0.000    0.001    0.001 argparse.py:214(<listcomp>)
        1    0.000    0.000    0.001    0.001 argparse.py:294(_format_usage)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
      215    0.000    0.000    0.001    0.000 enum.py:289(__call__)
     3085    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
  573/183    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5843(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5806(_makeTags)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       78    0.000    0.000    0.001    0.000 rcsetup.py:360(validate_color)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
     1201    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7fa62c02d900}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
8243/7718    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      410    0.000    0.000    0.001    0.000 copy.py:258(_reconstruct)
       66    0.000    0.000    0.001    0.000 pyparsing.py:2138(__add__)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        5    0.000    0.000    0.001    0.000 __init__.py:109(import_module)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
        2    0.000    0.000    0.001    0.000 pyparsing.py:5679(srange)
       12    0.000    0.000    0.001    0.000 rcsetup.py:437(validate_font_properties)
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        5    0.000    0.000    0.001    0.000 fontconfig_pattern.py:119(parse)
        1    0.000    0.000    0.001    0.001 __init__.py:435(StrFormatStyle)
        3    0.000    0.000    0.001    0.000 enum.py:445(_convert_)
       43    0.000    0.000    0.001    0.000 abc.py:84(__new__)
2634/2630    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       76    0.000    0.000    0.001    0.000 colors.py:129(is_color_like)
       10    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
      520    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    63/59    0.000    0.000    0.001    0.000 typing.py:256(inner)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       96    0.000    0.000    0.001    0.000 traceback.py:285(line)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      520    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
       12    0.000    0.000    0.001    0.000 pyparsing.py:4686(parseImpl)
       14    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
      487    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
       72    0.000    0.000    0.001    0.000 linecache.py:26(getline)
        3    0.000    0.000    0.001    0.000 enum.py:392(_create_)
     8137    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
       17    0.000    0.000    0.001    0.000 re.py:203(sub)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        5    0.000    0.000    0.001    0.000 enum.py:136(__new__)
       28    0.000    0.000    0.001    0.000 deprecation.py:168(deprecate)
       72    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.001    0.001 __init__.py:407(PercentStyle)
       66    0.000    0.000    0.001    0.000 rcsetup.py:87(f)
        3    0.000    0.000    0.001    0.000 argparse.py:390(_format_actions_usage)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
       65    0.000    0.000    0.001    0.000 colors.py:161(to_rgba)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
    22/10    0.000    0.000    0.001    0.000 pyparsing.py:4249(parseImpl)
