         149578 function calls (145313 primitive calls) in 47.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
      602    0.001    0.000    0.004    0.000 __init__.py:655(__setitem__)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
       10    0.000    0.000    0.003    0.000 pyparsing.py:5120(__init__)
     32/9    0.000    0.000    0.003    0.000 pyparsing.py:4466(leaveWhitespace)
     2080    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      190    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      410    0.000    0.000    0.003    0.000 pyparsing.py:1423(copy)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:10(<module>)
      291    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      410    0.001    0.000    0.002    0.000 copy.py:66(copy)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
     56/9    0.000    0.000    0.002    0.000 pyparsing.py:3897(leaveWhitespace)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
      616    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
      840    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        1    0.000    0.000    0.002    0.002 __init__.py:155(_check_versions)
      883    0.002    0.000    0.002    0.000 {built-in method posix.stat}
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3968(copy)
        1    0.000    0.000    0.002    0.002 _version.py:7(<module>)
        1    0.000    0.000    0.002    0.002 _datasource.py:1(<module>)
      290    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      170    0.001    0.000    0.002    0.000 __init__.py:2087(debug)
       10    0.000    0.000    0.002    0.000 pyparsing.py:3140(__init__)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
      214    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
        7    0.000    0.000    0.002    0.000 pyparsing.py:1901(parseString)
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3970(<listcomp>)
      141    0.002    0.000    0.002    0.000 {built-in method _imp.source_hash}
